DATE,GFDEBTN
1970-01-01,371050.500000000000
1970-07-01,383918.000000000000
1971-01-01,394486.500000000000
1971-07-01,418199.500000000000
1972-01-01,426889.500000000000
1972-07-01,441209.500000000000
1973-01-01,457961.500000000000
1973-07-01,464843.500000000000
1974-01-01,473955.000000000000
1974-07-01,487065.000000000000
1975-01-01,521423.500000000000
1975-07-01,565148.000000000000
1976-01-01,610461.000000000000
1976-07-01,644122.000000000000
1977-01-01,671816.000000000000
1977-07-01,708891.500000000000
1978-01-01,743487.500000000000
1978-07-01,780375.500000000000
1979-01-01,800852.500000000000
1979-07-01,835817.500000000000
1980-01-01,870532.500000000000
1980-07-01,918955.500000000000
1981-01-01,967852.500000000000
1981-07-01,1013292.000000000000
1982-01-01,1070464.500000000000
1982-07-01,1169554.500000000000
1983-01-01,1282037.000000000000
1983-07-01,1393956.500000000000
1984-01-01,1488219.000000000000
1984-07-01,1617616.500000000000
1985-01-01,1742685.500000000000
1985-07-01,1884522.500000000000
1986-01-01,2023082.500000000000
1986-07-01,2170069.500000000000
1987-01-01,2278010.000000000000
1987-07-01,2390996.000000000000
1988-01-01,2517603.500000000000
1988-07-01,2643287.500000000000
1989-01-01,2770410.500000000000
1989-07-01,2905212.500000000000
1990-01-01,3097856.000000000000
1990-07-01,3299066.500000000000
1991-01-01,3501588.500000000000
1991-07-01,3733500.500000000000
1992-01-01,3932972.000000000000
1992-07-01,4120815.000000000000
1993-01-01,4291265.000000000000
1993-07-01,4473588.000000000000
1994-01-01,4610835.500000000000
1994-07-01,4746450.000000000000
1995-01-01,4907744.000000000000
1995-07-01,4981324.000000000000
1996-01-01,5139431.000000000000
1996-07-01,5273991.500000000000
1997-01-01,5378520.500000000000
1997-07-01,5457767.000000000000
1998-01-01,5545180.500000000000
1998-07-01,5570205.000000000000
1999-01-01,5645197.500000000000
1999-07-01,5716181.000000000000
2000-01-01,5729665.000000000000
2000-07-01,5668197.500000000000
2001-01-01,5750277.500000000000
2001-07-01,5875451.500000000000
2002-01-01,6066250.500000000000
2002-07-01,6316971.500000000000
2003-01-01,6565448.500000000000
2003-07-01,6890642.000000000000
2004-01-01,7202701.500000000000
2004-07-01,7487598.000000000000
2005-01-01,7806717.500000000000
2005-07-01,8051561.500000000000
2006-01-01,8395599.000000000000
2006-07-01,8593599.000000000000
2007-01-01,8858671.000000000000
2007-07-01,9118412.500000000000
2008-01-01,9464800.000000000000
2008-07-01,10362265.000000000000
2009-01-01,11336108.000000000000
2009-07-01,12110588.500000000000
2010-01-01,12987457.500000000000
2010-07-01,13793418.500000000000
2011-01-01,14306600.500000000000
2011-07-01,15006640.000000000000
2012-01-01,15730777.500000000000
2012-07-01,16249485.000000000000
2013-01-01,16754850.500000000000
2013-07-01,16947149.500000000000
2014-01-01,17616916.500000000000
2014-07-01,17982757.500000000000
2015-01-01,18152027.000000000000
2015-07-01,18536398.500000000000
2016-01-01,19323265.000000000000
2016-07-01,19775136.000000000000
2017-01-01,19845487.000000000000
2017-07-01,20368823.500000000000
2018-01-01,21142356.500000000000
2018-07-01,21745077.000000000000
2019-01-01,22025581.500000000000
2019-07-01,22960391.000000000000
2020-01-01,24850527.000000000000
2020-07-01,27346594.500000000000
2021-01-01,28331003.000000000000
